pair_ID,entailment_judgment,relatedness_score
154,NEUTRAL,2.685
155,ENTAILMENT,4.2
156,CONTRADICTION,3.55
157,ENTAILMENT,4.9
158,ENTAILMENT,4.7
160,ENTAILMENT,4.7
162,NEUTRAL,3.8
165,ENTAILMENT,3.4
166,ENTAILMENT,3.7
167,ENTAILMENT,4.4
168,NEUTRAL,3.8
169,ENTAILMENT,4.6
171,NEUTRAL,3.7
172,ENTAILMENT,3.7
174,NEUTRAL,3.7
175,NEUTRAL,4.2
177,NEUTRAL,4.1
178,NEUTRAL,4.8
179,NEUTRAL,3.4
180,NEUTRAL,3.5
181,ENTAILMENT,4.6
182,NEUTRAL,3.2
187,NEUTRAL,3.0
189,NEUTRAL,3.3
190,NEUTRAL,3.3
191,NEUTRAL,4.1
193,NEUTRAL,4.6
195,NEUTRAL,3.6
196,CONTRADICTION,3.6
198,NEUTRAL,3.6
199,NEUTRAL,3.7
203,CONTRADICTION,3.7
204,NEUTRAL,4.0
206,NEUTRAL,3.8
207,NEUTRAL,3.3
208,NEUTRAL,4.5
209,NEUTRAL,4.2
210,CONTRADICTION,3.3
212,NEUTRAL,3.565
213,NEUTRAL,2.8
214,NEUTRAL,2.6
220,ENTAILMENT,4.4
221,ENTAILMENT,3.9
222,NEUTRAL,3.9
229,ENTAILMENT,4.5
230,CONTRADICTION,3.1
231,ENTAILMENT,4.5
235,NEUTRAL,2.7
239,NEUTRAL,2.3
242,NEUTRAL,3.9
243,ENTAILMENT,3.9
244,CONTRADICTION,3.9
245,NEUTRAL,3.7
246,NEUTRAL,2.3
247,NEUTRAL,3.6
250,NEUTRAL,3.0
251,NEUTRAL,3.1
252,NEUTRAL,3.8
255,ENTAILMENT,4.2
261,NEUTRAL,3.2
262,ENTAILMENT,4.7
263,NEUTRAL,4.1
264,NEUTRAL,2.8
267,NEUTRAL,2.9
268,NEUTRAL,2.5
270,NEUTRAL,3.7
271,NEUTRAL,3.1
274,ENTAILMENT,3.6
275,NEUTRAL,4.2
278,NEUTRAL,2.8
281,NEUTRAL,4.0
282,ENTAILMENT,4.6
284,NEUTRAL,4.7
288,NEUTRAL,3.8
290,NEUTRAL,3.0
292,NEUTRAL,3.285
294,ENTAILMENT,3.8
295,NEUTRAL,2.9
297,NEUTRAL,2.3
298,NEUTRAL,1.8
299,NEUTRAL,3.2
300,ENTAILMENT,4.7
306,ENTAILMENT,3.1
307,ENTAILMENT,3.5
308,NEUTRAL,3.2
314,CONTRADICTION,3.8
316,NEUTRAL,1.6
318,NEUTRAL,1.7
319,NEUTRAL,1.8
320,NEUTRAL,1.0
321,NEUTRAL,1.9
322,ENTAILMENT,4.7
324,NEUTRAL,4.4
325,CONTRADICTION,4.1
326,NEUTRAL,2.3
328,NEUTRAL,1.4
330,NEUTRAL,1.3
334,NEUTRAL,3.1
336,ENTAILMENT,4.4
337,ENTAILMENT,3.8
343,ENTAILMENT,4.8
345,NEUTRAL,3.5
348,NEUTRAL,2.6
349,NEUTRAL,2.1
350,NEUTRAL,3.2
352,CONTRADICTION,3.9
353,NEUTRAL,3.2
355,CONTRADICTION,3.5
356,NEUTRAL,4.2
357,CONTRADICTION,3.1
359,NEUTRAL,3.9
364,ENTAILMENT,4.9
365,NEUTRAL,4.4
368,NEUTRAL,3.8
369,NEUTRAL,2.8
371,ENTAILMENT,4.3
376,NEUTRAL,2.4
383,NEUTRAL,3.935
385,NEUTRAL,4.0
386,NEUTRAL,4.0
388,ENTAILMENT,3.6
389,NEUTRAL,3.4
399,NEUTRAL,2.7
400,NEUTRAL,3.2
401,NEUTRAL,3.7
405,NEUTRAL,3.5
406,ENTAILMENT,3.6
407,NEUTRAL,1.8
408,ENTAILMENT,4.1
411,ENTAILMENT,4.9
412,NEUTRAL,3.3
414,NEUTRAL,4.7
416,NEUTRAL,3.8
418,NEUTRAL,3.2
419,NEUTRAL,3.9
420,NEUTRAL,2.2
421,NEUTRAL,3.7
424,NEUTRAL,4.5
425,CONTRADICTION,3.4
426,ENTAILMENT,3.6
429,NEUTRAL,2.6
430,ENTAILMENT,3.9
431,NEUTRAL,3.6
432,NEUTRAL,4.4
433,NEUTRAL,4.9
437,NEUTRAL,2.8
443,NEUTRAL,3.8
444,ENTAILMENT,3.2
445,NEUTRAL,4.6
448,NEUTRAL,3.6
452,NEUTRAL,4.0
453,ENTAILMENT,4.6
455,NEUTRAL,4.2
456,CONTRADICTION,3.3
458,CONTRADICTION,2.4
459,NEUTRAL,2.5
460,NEUTRAL,2.4
463,NEUTRAL,3.2
464,ENTAILMENT,3.5
466,CONTRADICTION,4.8
467,NEUTRAL,3.3
468,NEUTRAL,2.8
469,ENTAILMENT,4.5
471,NEUTRAL,2.7
472,NEUTRAL,3.8
474,CONTRADICTION,3.035
478,NEUTRAL,4.085
479,ENTAILMENT,4.0
480,NEUTRAL,3.6
481,ENTAILMENT,4.5
482,ENTAILMENT,4.7
483,NEUTRAL,2.5
487,NEUTRAL,2.95
488,NEUTRAL,3.8
490,NEUTRAL,3.7
492,CONTRADICTION,3.3
493,NEUTRAL,2.4
495,NEUTRAL,3.9
498,NEUTRAL,3.7
501,NEUTRAL,3.3
502,ENTAILMENT,4.5
503,CONTRADICTION,3.45
504,NEUTRAL,3.7
509,NEUTRAL,2.8
510,NEUTRAL,2.4
511,NEUTRAL,3.0
512,NEUTRAL,3.0
517,NEUTRAL,2.8
518,ENTAILMENT,4.7
519,CONTRADICTION,4.0
521,NEUTRAL,3.0
523,NEUTRAL,2.7
525,NEUTRAL,2.5
532,CONTRADICTION,3.1
533,NEUTRAL,3.4
534,NEUTRAL,3.5
536,NEUTRAL,2.4
537,NEUTRAL,3.3
539,NEUTRAL,2.3
540,NEUTRAL,3.3
543,NEUTRAL,3.0
544,ENTAILMENT,4.6
546,NEUTRAL,3.1
547,NEUTRAL,2.685
549,NEUTRAL,3.5
553,NEUTRAL,2.9
554,ENTAILMENT,4.4
558,NEUTRAL,3.8
559,NEUTRAL,3.1
562,NEUTRAL,2.5
563,NEUTRAL,3.6
566,NEUTRAL,3.9
567,ENTAILMENT,5.0
569,NEUTRAL,2.9
571,CONTRADICTION,2.6
572,NEUTRAL,3.6
573,NEUTRAL,3.8
574,NEUTRAL,3.1
575,NEUTRAL,2.3
576,NEUTRAL,4.0
577,NEUTRAL,3.5
578,NEUTRAL,2.5
579,NEUTRAL,3.7
580,NEUTRAL,4.9
582,NEUTRAL,3.6
583,ENTAILMENT,4.9
584,CONTRADICTION,4.3
585,NEUTRAL,3.8
589,NEUTRAL,3.4
590,ENTAILMENT,4.2
591,ENTAILMENT,4.3
593,ENTAILMENT,4.9
594,CONTRADICTION,3.8
595,NEUTRAL,3.6
596,NEUTRAL,2.4
598,NEUTRAL,3.2
600,ENTAILMENT,5.0
602,NEUTRAL,2.8
607,NEUTRAL,3.2
608,NEUTRAL,1.915
610,NEUTRAL,2.0
612,NEUTRAL,3.0
613,ENTAILMENT,4.9
614,NEUTRAL,3.935
615,NEUTRAL,4.2
616,ENTAILMENT,5.0
618,NEUTRAL,2.8
620,NEUTRAL,2.6
623,NEUTRAL,3.0
624,NEUTRAL,3.4
627,NEUTRAL,3.3
633,NEUTRAL,3.0
635,NEUTRAL,4.2
636,NEUTRAL,2.9
639,ENTAILMENT,4.9
640,NEUTRAL,3.3
642,ENTAILMENT,5.0
644,NEUTRAL,3.4
652,ENTAILMENT,4.8
654,NEUTRAL,3.3
656,NEUTRAL,4.0
658,ENTAILMENT,4.3
659,NEUTRAL,3.4
662,NEUTRAL,3.9
664,NEUTRAL,4.2
665,ENTAILMENT,4.8
666,ENTAILMENT,3.5
667,ENTAILMENT,4.9
669,NEUTRAL,2.4
670,NEUTRAL,4.065
673,NEUTRAL,4.1
674,NEUTRAL,3.3
675,NEUTRAL,4.4
677,NEUTRAL,3.6
681,NEUTRAL,3.1
682,NEUTRAL,3.9
683,CONTRADICTION,3.4
684,NEUTRAL,2.9
686,NEUTRAL,3.5
688,NEUTRAL,4.4
694,NEUTRAL,3.9
695,NEUTRAL,3.4
700,NEUTRAL,2.1
701,NEUTRAL,2.5
705,ENTAILMENT,4.6
706,CONTRADICTION,3.585
707,NEUTRAL,3.5
708,NEUTRAL,3.6
710,NEUTRAL,2.8
711,NEUTRAL,3.0
712,NEUTRAL,3.9
713,ENTAILMENT,5.0
714,NEUTRAL,3.1
716,ENTAILMENT,4.1
719,NEUTRAL,3.1
720,NEUTRAL,2.1
721,NEUTRAL,3.1
724,NEUTRAL,3.4
726,ENTAILMENT,4.9
739,NEUTRAL,3.2
740,NEUTRAL,4.8
742,NEUTRAL,2.9
743,NEUTRAL,4.1
744,NEUTRAL,3.9
750,NEUTRAL,4.3
751,NEUTRAL,2.3
753,CONTRADICTION,4.4
755,NEUTRAL,3.1
756,ENTAILMENT,2.9
758,NEUTRAL,3.9
763,NEUTRAL,4.2
767,ENTAILMENT,2.7
770,ENTAILMENT,3.6
771,ENTAILMENT,3.6
773,NEUTRAL,3.5
775,NEUTRAL,3.6
776,NEUTRAL,2.8
778,NEUTRAL,3.685
779,NEUTRAL,3.0
781,ENTAILMENT,4.3
782,CONTRADICTION,3.75
786,NEUTRAL,2.3
787,NEUTRAL,3.2
788,NEUTRAL,3.5
790,NEUTRAL,3.65
794,NEUTRAL,4.6
795,NEUTRAL,3.8
798,CONTRADICTION,3.8
800,NEUTRAL,2.5
801,NEUTRAL,2.1
803,NEUTRAL,2.6
805,ENTAILMENT,4.9
806,CONTRADICTION,3.2
807,NEUTRAL,4.6
808,NEUTRAL,4.6
809,CONTRADICTION,3.9
810,NEUTRAL,2.6
814,NEUTRAL,2.4
815,NEUTRAL,3.0
817,ENTAILMENT,3.5
818,ENTAILMENT,4.8
819,CONTRADICTION,3.6
821,NEUTRAL,2.4
823,NEUTRAL,2.7
826,NEUTRAL,2.7
828,CONTRADICTION,3.1
829,NEUTRAL,4.4
832,NEUTRAL,3.7
833,NEUTRAL,3.4
834,NEUTRAL,3.0
835,NEUTRAL,2.9
837,NEUTRAL,3.8
838,NEUTRAL,3.4
840,ENTAILMENT,4.8
842,ENTAILMENT,3.2
843,ENTAILMENT,4.2
847,NEUTRAL,2.7
849,NEUTRAL,3.1
850,NEUTRAL,2.7
853,NEUTRAL,4.4
854,CONTRADICTION,3.2
856,ENTAILMENT,4.7
861,CONTRADICTION,3.2
863,ENTAILMENT,4.1
865,CONTRADICTION,3.5
871,NEUTRAL,3.6
875,NEUTRAL,4.5
877,ENTAILMENT,4.5
884,NEUTRAL,2.7
885,NEUTRAL,3.3
886,NEUTRAL,3.8
890,ENTAILMENT,4.3
891,CONTRADICTION,3.6
894,ENTAILMENT,3.8
896,ENTAILMENT,3.2
897,ENTAILMENT,3.7
900,ENTAILMENT,4.0
901,NEUTRAL,3.6
903,NEUTRAL,3.6
905,NEUTRAL,3.6
907,NEUTRAL,2.6
911,NEUTRAL,3.7
912,ENTAILMENT,4.9
914,ENTAILMENT,4.4
916,ENTAILMENT,3.8
918,NEUTRAL,1.1
919,NEUTRAL,3.15
921,NEUTRAL,3.1
923,ENTAILMENT,4.4
924,CONTRADICTION,2.4
925,NEUTRAL,2.965
926,ENTAILMENT,4.9
928,NEUTRAL,4.0
929,NEUTRAL,3.8
930,NEUTRAL,3.8
934,ENTAILMENT,4.6
937,ENTAILMENT,4.9
938,NEUTRAL,4.0
939,NEUTRAL,3.4
941,NEUTRAL,3.2
942,NEUTRAL,2.6
946,NEUTRAL,3.8
951,ENTAILMENT,2.8
952,NEUTRAL,3.9
954,NEUTRAL,3.0
955,NEUTRAL,3.3
958,ENTAILMENT,3.0
964,CONTRADICTION,3.7
965,NEUTRAL,4.8
966,NEUTRAL,3.5
968,NEUTRAL,3.5
969,NEUTRAL,3.9
971,NEUTRAL,1.9
972,NEUTRAL,3.765
974,CONTRADICTION,4.0
976,ENTAILMENT,4.5
977,NEUTRAL,3.8
981,NEUTRAL,2.2
982,NEUTRAL,3.1
983,NEUTRAL,2.6
986,ENTAILMENT,4.6
990,NEUTRAL,4.1
992,NEUTRAL,2.4
993,NEUTRAL,3.0
995,NEUTRAL,3.0
997,NEUTRAL,1.5
999,ENTAILMENT,4.7
1001,ENTAILMENT,4.8
1003,NEUTRAL,3.1
1005,NEUTRAL,2.3
1006,NEUTRAL,2.2
1011,ENTAILMENT,4.7
1012,NEUTRAL,3.2
1013,NEUTRAL,3.4
1014,NEUTRAL,3.5
1015,NEUTRAL,2.9
1017,NEUTRAL,3.3
1020,NEUTRAL,3.6
1023,NEUTRAL,2.6
1024,NEUTRAL,4.8
1025,NEUTRAL,3.4
1027,NEUTRAL,2.4
1030,NEUTRAL,2.0
1032,ENTAILMENT,5.0
1034,NEUTRAL,3.5
1035,ENTAILMENT,4.5
1036,CONTRADICTION,3.6
1040,NEUTRAL,2.9
1041,ENTAILMENT,4.0
1042,ENTAILMENT,3.4
1051,NEUTRAL,2.9
1056,NEUTRAL,2.9
1058,ENTAILMENT,4.9
1059,CONTRADICTION,3.5
1060,NEUTRAL,3.7
1062,CONTRADICTION,3.6
1063,NEUTRAL,3.5
1066,NEUTRAL,2.6
1067,NEUTRAL,3.4
1070,NEUTRAL,3.8
1071,ENTAILMENT,4.5
1072,NEUTRAL,2.8
1073,ENTAILMENT,4.9
1075,NEUTRAL,4.5
1077,NEUTRAL,3.7
1078,NEUTRAL,3.6
1079,NEUTRAL,4.2
1081,NEUTRAL,4.1
1085,ENTAILMENT,4.4
1086,NEUTRAL,2.6
1089,NEUTRAL,3.5
1098,ENTAILMENT,4.4
1100,NEUTRAL,1.0
1101,NEUTRAL,1.0
1103,NEUTRAL,1.1
1106,ENTAILMENT,4.3
1107,CONTRADICTION,3.4
1110,CONTRADICTION,2.6
1113,NEUTRAL,1.5
1114,NEUTRAL,1.1
1116,NEUTRAL,1.5
1121,ENTAILMENT,4.5
1123,ENTAILMENT,4.0
1124,CONTRADICTION,4.1
1126,ENTAILMENT,4.5
1127,CONTRADICTION,3.4
1130,CONTRADICTION,4.0
1131,ENTAILMENT,3.8
1132,NEUTRAL,4.0
1134,NEUTRAL,3.2
1136,NEUTRAL,3.4
1138,NEUTRAL,3.8
1139,ENTAILMENT,5.0
1140,CONTRADICTION,3.6
1141,NEUTRAL,4.4
1142,CONTRADICTION,4.1
1143,NEUTRAL,1.0
1144,NEUTRAL,1.0
1146,NEUTRAL,1.0
1148,NEUTRAL,4.5
1150,ENTAILMENT,4.5
1151,CONTRADICTION,3.9
1152,NEUTRAL,2.8
1156,NEUTRAL,2.7
1158,CONTRADICTION,3.3
1159,NEUTRAL,4.6
1160,ENTAILMENT,3.6
1163,NEUTRAL,4.3
1164,NEUTRAL,3.5
1166,ENTAILMENT,5.0
1168,ENTAILMENT,5.0
1171,NEUTRAL,3.2
1172,ENTAILMENT,3.1
1173,CONTRADICTION,3.2
1174,NEUTRAL,3.2
1176,CONTRADICTION,3.185
1181,NEUTRAL,1.3
1183,NEUTRAL,1.4
1185,NEUTRAL,3.6
1186,NEUTRAL,4.9
1187,ENTAILMENT,3.5
1189,NEUTRAL,2.9
1197,CONTRADICTION,3.8
1198,NEUTRAL,3.565
1199,NEUTRAL,3.3
1201,NEUTRAL,3.7
1203,NEUTRAL,3.7
1204,NEUTRAL,4.0
1208,NEUTRAL,4.4
1209,CONTRADICTION,4.3
1210,NEUTRAL,2.7
1211,NEUTRAL,3.3
1216,CONTRADICTION,3.6
1217,ENTAILMENT,4.3
1218,CONTRADICTION,3.7
1220,NEUTRAL,3.2
1223,NEUTRAL,4.1
1224,ENTAILMENT,4.8
1225,CONTRADICTION,3.5
1226,ENTAILMENT,4.5
1229,NEUTRAL,3.2
1231,NEUTRAL,2.7
1233,ENTAILMENT,4.4
1234,CONTRADICTION,3.8
1235,ENTAILMENT,4.8
1238,NEUTRAL,4.0
1243,CONTRADICTION,3.4
1245,CONTRADICTION,3.065
1247,NEUTRAL,2.9
1250,NEUTRAL,3.0
1252,CONTRADICTION,3.1
1253,ENTAILMENT,4.3
1254,NEUTRAL,3.4
1256,NEUTRAL,1.9
1257,NEUTRAL,1.8
1258,NEUTRAL,2.1
1260,ENTAILMENT,4.9
1261,CONTRADICTION,4.6
1262,ENTAILMENT,4.9
1263,CONTRADICTION,4.1
1264,ENTAILMENT,5.0
1265,CONTRADICTION,3.6
1267,NEUTRAL,4.3
1269,NEUTRAL,3.8
1272,CONTRADICTION,4.4
1277,NEUTRAL,1.2
1278,NEUTRAL,3.5
1279,NEUTRAL,2.7
1281,CONTRADICTION,4.6
1285,NEUTRAL,2.6
1286,NEUTRAL,2.485
1288,CONTRADICTION,3.8
1289,ENTAILMENT,5.0
1290,NEUTRAL,4.0
1295,NEUTRAL,4.3
1296,ENTAILMENT,4.8
1298,ENTAILMENT,3.3
1299,ENTAILMENT,4.0
1300,CONTRADICTION,4.8
1301,NEUTRAL,2.6
1304,NEUTRAL,1.8
1306,NEUTRAL,1.1
1307,NEUTRAL,1.965
1309,ENTAILMENT,4.5
1310,CONTRADICTION,3.8
1312,CONTRADICTION,3.1
1313,NEUTRAL,1.0
1314,NEUTRAL,1.0
1315,NEUTRAL,1.0
1316,NEUTRAL,1.0
1320,ENTAILMENT,3.6
1322,NEUTRAL,2.6
1323,ENTAILMENT,3.6
1324,NEUTRAL,4.2
1325,NEUTRAL,3.5
1327,ENTAILMENT,4.1
1330,NEUTRAL,4.3
1331,ENTAILMENT,4.7
1332,CONTRADICTION,3.0
1334,NEUTRAL,3.5
1337,ENTAILMENT,4.4
1338,NEUTRAL,2.9
1339,ENTAILMENT,4.7
1340,NEUTRAL,4.3
1343,NEUTRAL,3.365
1347,CONTRADICTION,4.0
1348,NEUTRAL,4.8
1349,NEUTRAL,4.2
1351,NEUTRAL,4.4
1353,NEUTRAL,4.3
1356,CONTRADICTION,3.8
1357,NEUTRAL,4.4
1360,ENTAILMENT,4.7
1362,ENTAILMENT,4.2
1363,CONTRADICTION,2.8
1364,ENTAILMENT,4.3
1366,NEUTRAL,5.0
1367,ENTAILMENT,4.1
1369,ENTAILMENT,4.2
1370,CONTRADICTION,4.0
1374,CONTRADICTION,3.4
1375,ENTAILMENT,4.6
1377,CONTRADICTION,3.4
1382,NEUTRAL,4.0
1383,CONTRADICTION,3.3
1391,NEUTRAL,1.2
1392,NEUTRAL,1.1
1393,NEUTRAL,1.4
1394,ENTAILMENT,4.4
1395,NEUTRAL,2.5
1397,CONTRADICTION,4.0
1398,NEUTRAL,3.3
1401,NEUTRAL,3.1
1402,NEUTRAL,3.1
1406,CONTRADICTION,3.5
1411,NEUTRAL,2.4
1413,NEUTRAL,4.0
1416,NEUTRAL,4.3
1418,NEUTRAL,3.6
1420,NEUTRAL,4.3
1422,NEUTRAL,3.2
1423,ENTAILMENT,4.5
1424,CONTRADICTION,3.5
1425,NEUTRAL,1.3
1426,NEUTRAL,1.3
1428,NEUTRAL,1.5
1430,ENTAILMENT,4.7
1433,CONTRADICTION,3.5
1436,NEUTRAL,2.4
1437,NEUTRAL,3.735
1439,NEUTRAL,4.7
1440,CONTRADICTION,4.1
1441,NEUTRAL,4.5
1442,NEUTRAL,3.3
1445,NEUTRAL,2.0
1447,NEUTRAL,2.2
1449,ENTAILMENT,4.0
1450,ENTAILMENT,4.5
1451,CONTRADICTION,4.6
1452,NEUTRAL,1.085
1454,NEUTRAL,1.5
1456,NEUTRAL,1.1
1457,ENTAILMENT,4.5
1459,NEUTRAL,4.5
1460,NEUTRAL,3.7
1462,NEUTRAL,1.1
1465,NEUTRAL,1.1
1468,ENTAILMENT,4.4
1471,NEUTRAL,2.0
1472,NEUTRAL,2.8
1475,NEUTRAL,3.8
1477,NEUTRAL,4.4
1478,CONTRADICTION,3.6
1485,CONTRADICTION,3.4
1490,NEUTRAL,2.9
1491,NEUTRAL,2.6
1492,NEUTRAL,3.6
1496,CONTRADICTION,3.5
1497,ENTAILMENT,4.6
1500,CONTRADICTION,3.7
1502,NEUTRAL,4.5
1507,NEUTRAL,3.4
1508,NEUTRAL,3.4
1510,NEUTRAL,3.1
1512,ENTAILMENT,3.5
1515,NEUTRAL,1.0
1516,NEUTRAL,1.0
1518,NEUTRAL,1.1
1520,ENTAILMENT,4.2
1522,ENTAILMENT,4.1
1526,NEUTRAL,2.2
1528,NEUTRAL,2.865
1529,ENTAILMENT,4.5
1530,NEUTRAL,3.7
1533,NEUTRAL,1.0
1537,NEUTRAL,1.0
1539,CONTRADICTION,3.9
1540,ENTAILMENT,4.2
1542,NEUTRAL,2.3
1543,NEUTRAL,2.5
1544,NEUTRAL,2.3
1546,NEUTRAL,2.1
1548,CONTRADICTION,3.6
1554,CONTRADICTION,2.135
1555,NEUTRAL,4.1
1556,ENTAILMENT,4.3
1560,ENTAILMENT,4.65
1561,NEUTRAL,3.2
1562,NEUTRAL,3.3
1564,NEUTRAL,4.3
1567,ENTAILMENT,3.0
1568,ENTAILMENT,5.0
1569,NEUTRAL,3.6
1571,NEUTRAL,2.8
1572,NEUTRAL,2.8
1577,NEUTRAL,2.7
1578,ENTAILMENT,4.9
1579,CONTRADICTION,4.0
1581,CONTRADICTION,3.9
1583,CONTRADICTION,4.0
1589,ENTAILMENT,4.8
1590,NEUTRAL,3.5
1593,NEUTRAL,4.4
1594,NEUTRAL,3.3
1596,ENTAILMENT,5.0
1597,NEUTRAL,3.5
1598,ENTAILMENT,4.5
1600,ENTAILMENT,3.5
1602,NEUTRAL,3.7
1603,NEUTRAL,3.2
1605,NEUTRAL,3.4
1611,CONTRADICTION,2.7
1613,NEUTRAL,4.0
1616,NEUTRAL,2.1
1617,ENTAILMENT,4.9
1619,ENTAILMENT,4.8
1620,ENTAILMENT,4.6
1622,NEUTRAL,1.7
1623,NEUTRAL,1.5
1624,NEUTRAL,1.3
1630,ENTAILMENT,4.4
1633,NEUTRAL,3.6
1634,CONTRADICTION,3.0
1636,NEUTRAL,2.6
1637,NEUTRAL,3.45
1638,NEUTRAL,2.1
1642,NEUTRAL,3.4
1644,CONTRADICTION,3.9
1645,ENTAILMENT,3.2
1654,CONTRADICTION,3.2
1656,ENTAILMENT,4.9
1658,ENTAILMENT,4.9
1662,ENTAILMENT,3.4
1664,NEUTRAL,4.8
1665,NEUTRAL,3.3
1666,ENTAILMENT,3.5
1667,ENTAILMENT,4.9
1672,NEUTRAL,1.0
1674,NEUTRAL,1.0
1678,CONTRADICTION,3.9
1679,NEUTRAL,3.9
1681,CONTRADICTION,3.5
1683,ENTAILMENT,4.9
1684,CONTRADICTION,3.3
1685,ENTAILMENT,3.1
1686,ENTAILMENT,4.3
1688,NEUTRAL,2.8
1689,ENTAILMENT,4.6
1692,ENTAILMENT,2.4
1693,ENTAILMENT,4.465
1695,ENTAILMENT,4.0
1696,ENTAILMENT,4.2
1698,ENTAILMENT,3.9
1699,ENTAILMENT,4.2
1701,NEUTRAL,1.7
1704,ENTAILMENT,3.4
1709,NEUTRAL,1.4
1710,NEUTRAL,1.2
1713,CONTRADICTION,3.7
1717,ENTAILMENT,5.0
1718,NEUTRAL,3.8
1720,CONTRADICTION,2.6
1722,ENTAILMENT,4.8
1725,ENTAILMENT,4.8
1726,CONTRADICTION,2.9
1727,ENTAILMENT,3.015
1728,NEUTRAL,1.8
1730,NEUTRAL,1.5
1731,NEUTRAL,1.8
1732,NEUTRAL,1.8
1734,NEUTRAL,4.7
1735,CONTRADICTION,3.6
1737,CONTRADICTION,4.0
1738,NEUTRAL,1.3
1739,NEUTRAL,1.0
1740,NEUTRAL,1.0
1742,NEUTRAL,1.0
1743,ENTAILMENT,4.8
1744,CONTRADICTION,3.1
1745,ENTAILMENT,2.8
1746,NEUTRAL,4.5
1748,ENTAILMENT,4.1
1749,ENTAILMENT,3.3
1750,ENTAILMENT,4.2
1752,ENTAILMENT,3.4
1758,CONTRADICTION,3.4
1760,NEUTRAL,3.4
1761,ENTAILMENT,3.7
1762,ENTAILMENT,2.3
1763,NEUTRAL,2.7
1764,ENTAILMENT,4.2
1767,NEUTRAL,2.8
1768,ENTAILMENT,4.4
1769,CONTRADICTION,3.3
1770,ENTAILMENT,3.4
1774,NEUTRAL,3.2
1775,NEUTRAL,2.4
1778,ENTAILMENT,4.4
1779,ENTAILMENT,3.8
1785,NEUTRAL,2.8
1786,NEUTRAL,4.6
1788,NEUTRAL,4.4
1790,CONTRADICTION,3.6
1793,CONTRADICTION,3.3
1794,NEUTRAL,2.5
1795,NEUTRAL,4.0
1796,NEUTRAL,2.8
1797,NEUTRAL,2.3
1799,NEUTRAL,3.5
1800,ENTAILMENT,4.1
1801,ENTAILMENT,4.0
1802,ENTAILMENT,4.9
1803,CONTRADICTION,4.3
1804,NEUTRAL,4.8
1805,CONTRADICTION,4.0
1806,NEUTRAL,2.6
1810,NEUTRAL,3.4
1813,ENTAILMENT,4.9
1816,ENTAILMENT,4.7
1817,CONTRADICTION,4.15
1819,NEUTRAL,3.9
1821,NEUTRAL,2.3
1824,NEUTRAL,2.5
1826,ENTAILMENT,4.9
1827,NEUTRAL,3.6
1828,ENTAILMENT,2.2
1831,ENTAILMENT,3.5
1833,NEUTRAL,1.9
1834,NEUTRAL,1.5
1835,NEUTRAL,2.1
1836,NEUTRAL,1.435
1837,NEUTRAL,1.3
1838,NEUTRAL,2.4
1843,CONTRADICTION,3.835
1845,NEUTRAL,1.0
1848,NEUTRAL,1.0
1850,ENTAILMENT,4.8
