pair_ID,entailment_judgment
243,NEUTRAL
244,CONTRADICTION
245,ENTAILMENT
246,ENTAILMENT
247,CONTRADICTION
250,NEUTRAL
251,NEUTRAL
252,NEUTRAL
255,ENTAILMENT
261,NEUTRAL
262,ENTAILMENT
263,NEUTRAL
264,NEUTRAL
267,NEUTRAL
268,NEUTRAL
270,NEUTRAL
271,ENTAILMENT
274,NEUTRAL
275,NEUTRAL
278,ENTAILMENT
281,ENTAILMENT
282,ENTAILMENT
284,NEUTRAL
288,NEUTRAL
290,NEUTRAL
292,NEUTRAL
294,NEUTRAL
295,NEUTRAL
297,NEUTRAL
298,NEUTRAL
299,NEUTRAL
300,NEUTRAL
306,NEUTRAL
307,NEUTRAL
308,NEUTRAL
314,NEUTRAL
316,NEUTRAL
318,NEUTRAL
319,NEUTRAL
320,NEUTRAL
321,NEUTRAL
322,ENTAILMENT
324,ENTAILMENT
325,CONTRADICTION
326,NEUTRAL
328,NEUTRAL
330,NEUTRAL
334,NEUTRAL
336,NEUTRAL
337,NEUTRAL
343,NEUTRAL
345,NEUTRAL
348,CONTRADICTION
349,NEUTRAL
350,ENTAILMENT
352,CONTRADICTION
353,NEUTRAL
355,CONTRADICTION
356,ENTAILMENT
357,CONTRADICTION
359,CONTRADICTION
364,ENTAILMENT
365,ENTAILMENT
368,NEUTRAL
369,NEUTRAL
371,NEUTRAL
376,NEUTRAL
383,ENTAILMENT
385,ENTAILMENT
386,NEUTRAL
388,ENTAILMENT
389,NEUTRAL
399,NEUTRAL
400,ENTAILMENT
401,NEUTRAL
405,ENTAILMENT
406,ENTAILMENT
407,ENTAILMENT
408,NEUTRAL
411,NEUTRAL
412,NEUTRAL
414,NEUTRAL
416,NEUTRAL
418,NEUTRAL
419,NEUTRAL
420,NEUTRAL
421,NEUTRAL
424,NEUTRAL
425,CONTRADICTION
426,NEUTRAL
429,NEUTRAL
430,NEUTRAL
431,NEUTRAL
432,NEUTRAL
433,ENTAILMENT
437,NEUTRAL
443,ENTAILMENT
444,ENTAILMENT
445,NEUTRAL
448,ENTAILMENT
452,NEUTRAL
453,NEUTRAL
455,NEUTRAL
456,CONTRADICTION
458,CONTRADICTION
459,NEUTRAL
460,CONTRADICTION
463,NEUTRAL
464,ENTAILMENT
466,CONTRADICTION
467,ENTAILMENT
468,CONTRADICTION
469,NEUTRAL
471,ENTAILMENT
472,ENTAILMENT
474,CONTRADICTION
478,NEUTRAL
479,NEUTRAL
480,NEUTRAL
481,NEUTRAL
482,NEUTRAL
483,NEUTRAL
487,NEUTRAL
488,NEUTRAL
490,NEUTRAL
492,CONTRADICTION
493,NEUTRAL
495,NEUTRAL
498,NEUTRAL
501,ENTAILMENT
502,NEUTRAL
503,CONTRADICTION
504,NEUTRAL
509,NEUTRAL
510,NEUTRAL
511,NEUTRAL
512,NEUTRAL
517,NEUTRAL
518,NEUTRAL
519,CONTRADICTION
521,NEUTRAL
523,CONTRADICTION
525,NEUTRAL
532,CONTRADICTION
533,NEUTRAL
534,ENTAILMENT
536,NEUTRAL
537,ENTAILMENT
539,NEUTRAL
540,NEUTRAL
543,NEUTRAL
544,ENTAILMENT
546,NEUTRAL
547,NEUTRAL
549,NEUTRAL
553,NEUTRAL
554,NEUTRAL
558,NEUTRAL
559,NEUTRAL
562,NEUTRAL
563,NEUTRAL
566,NEUTRAL
567,ENTAILMENT
569,NEUTRAL
571,CONTRADICTION
572,NEUTRAL
573,NEUTRAL
574,CONTRADICTION
575,NEUTRAL
576,NEUTRAL
577,NEUTRAL
578,NEUTRAL
579,NEUTRAL
580,ENTAILMENT
582,ENTAILMENT
583,NEUTRAL
584,CONTRADICTION
585,ENTAILMENT
589,NEUTRAL
590,ENTAILMENT
591,ENTAILMENT
593,CONTRADICTION
594,CONTRADICTION
595,NEUTRAL
596,NEUTRAL
598,NEUTRAL
600,ENTAILMENT
602,CONTRADICTION
607,NEUTRAL
608,NEUTRAL
610,NEUTRAL
612,NEUTRAL
613,ENTAILMENT
614,CONTRADICTION
615,NEUTRAL
616,NEUTRAL
618,NEUTRAL
620,NEUTRAL
623,NEUTRAL
624,NEUTRAL
627,NEUTRAL
633,NEUTRAL
635,NEUTRAL
636,NEUTRAL
639,ENTAILMENT
640,ENTAILMENT
642,ENTAILMENT
644,ENTAILMENT
652,ENTAILMENT
654,ENTAILMENT
656,NEUTRAL
658,NEUTRAL
659,ENTAILMENT
662,NEUTRAL
664,NEUTRAL
665,NEUTRAL
666,NEUTRAL
667,ENTAILMENT
669,NEUTRAL
670,NEUTRAL
673,NEUTRAL
674,NEUTRAL
675,NEUTRAL
677,ENTAILMENT
681,ENTAILMENT
682,NEUTRAL
683,NEUTRAL
684,NEUTRAL
686,NEUTRAL
688,NEUTRAL
694,NEUTRAL
695,NEUTRAL
700,NEUTRAL
701,NEUTRAL
705,NEUTRAL
706,NEUTRAL
707,ENTAILMENT
708,NEUTRAL
710,NEUTRAL
711,NEUTRAL
712,NEUTRAL
713,ENTAILMENT
714,NEUTRAL
716,ENTAILMENT
719,ENTAILMENT
720,ENTAILMENT
721,NEUTRAL
724,NEUTRAL
726,ENTAILMENT
739,ENTAILMENT
740,ENTAILMENT
742,NEUTRAL
743,NEUTRAL
744,NEUTRAL
750,ENTAILMENT
751,NEUTRAL
753,CONTRADICTION
755,NEUTRAL
756,NEUTRAL
758,NEUTRAL
763,NEUTRAL
767,ENTAILMENT
770,ENTAILMENT
771,ENTAILMENT
773,NEUTRAL
775,CONTRADICTION
776,ENTAILMENT
778,NEUTRAL
779,NEUTRAL
781,ENTAILMENT
782,CONTRADICTION
786,NEUTRAL
787,NEUTRAL
788,NEUTRAL
790,NEUTRAL
794,ENTAILMENT
795,ENTAILMENT
798,CONTRADICTION
800,NEUTRAL
801,NEUTRAL
803,NEUTRAL
805,ENTAILMENT
806,CONTRADICTION
807,NEUTRAL
808,NEUTRAL
809,CONTRADICTION
810,NEUTRAL
814,NEUTRAL
815,NEUTRAL
817,ENTAILMENT
818,ENTAILMENT
819,CONTRADICTION
821,NEUTRAL
823,NEUTRAL
826,NEUTRAL
828,NEUTRAL
829,NEUTRAL
832,NEUTRAL
833,NEUTRAL
834,CONTRADICTION
835,NEUTRAL
837,NEUTRAL
838,NEUTRAL
840,NEUTRAL
842,ENTAILMENT
843,NEUTRAL
847,NEUTRAL
849,NEUTRAL
850,ENTAILMENT
853,ENTAILMENT
854,NEUTRAL
856,ENTAILMENT
861,CONTRADICTION
863,NEUTRAL
865,CONTRADICTION
871,ENTAILMENT
875,ENTAILMENT
877,NEUTRAL
884,NEUTRAL
885,NEUTRAL
886,ENTAILMENT
890,NEUTRAL
891,CONTRADICTION
894,ENTAILMENT
896,ENTAILMENT
897,CONTRADICTION
900,CONTRADICTION
901,NEUTRAL
903,NEUTRAL
905,NEUTRAL
907,NEUTRAL
911,NEUTRAL
912,ENTAILMENT
914,NEUTRAL
916,ENTAILMENT
918,NEUTRAL
919,NEUTRAL
921,CONTRADICTION
923,NEUTRAL
924,CONTRADICTION
925,NEUTRAL
926,NEUTRAL
928,NEUTRAL
929,CONTRADICTION
930,NEUTRAL
934,NEUTRAL
937,NEUTRAL
938,NEUTRAL
939,NEUTRAL
941,NEUTRAL
942,NEUTRAL
946,NEUTRAL
951,NEUTRAL
952,ENTAILMENT
954,ENTAILMENT
955,NEUTRAL
958,NEUTRAL
964,CONTRADICTION
965,NEUTRAL
966,NEUTRAL
968,NEUTRAL
969,NEUTRAL
971,NEUTRAL
972,NEUTRAL
974,NEUTRAL
976,ENTAILMENT
977,ENTAILMENT
981,ENTAILMENT
982,NEUTRAL
983,NEUTRAL
986,ENTAILMENT
990,ENTAILMENT
992,NEUTRAL
993,NEUTRAL
995,NEUTRAL
997,NEUTRAL
999,ENTAILMENT
1001,NEUTRAL
1003,NEUTRAL
1005,NEUTRAL
1006,NEUTRAL
1011,ENTAILMENT
1012,NEUTRAL
1013,NEUTRAL
1014,NEUTRAL
1015,NEUTRAL
1017,NEUTRAL
1020,NEUTRAL
1023,NEUTRAL
1024,NEUTRAL
1025,NEUTRAL
1027,NEUTRAL
1030,ENTAILMENT
1032,ENTAILMENT
1034,NEUTRAL
1035,ENTAILMENT
1036,CONTRADICTION
1040,NEUTRAL
1041,ENTAILMENT
1042,ENTAILMENT
1051,NEUTRAL
1056,NEUTRAL
1058,NEUTRAL
1059,CONTRADICTION
1060,NEUTRAL
1062,CONTRADICTION
1063,NEUTRAL
1066,NEUTRAL
1067,NEUTRAL
1070,NEUTRAL
1071,ENTAILMENT
1072,NEUTRAL
1073,ENTAILMENT
1075,NEUTRAL
1077,NEUTRAL
1078,NEUTRAL
1079,ENTAILMENT
1081,NEUTRAL
1085,ENTAILMENT
1086,ENTAILMENT
1089,NEUTRAL
1098,NEUTRAL
1100,NEUTRAL
1101,NEUTRAL
1103,NEUTRAL
1106,NEUTRAL
1107,CONTRADICTION
1110,CONTRADICTION
1113,NEUTRAL
1114,NEUTRAL
1116,NEUTRAL
1121,NEUTRAL
1123,ENTAILMENT
1124,CONTRADICTION
1126,ENTAILMENT
1127,CONTRADICTION
1130,CONTRADICTION
1131,NEUTRAL
1132,NEUTRAL
1134,NEUTRAL
1136,NEUTRAL
1138,NEUTRAL
1139,ENTAILMENT
1140,CONTRADICTION
1141,ENTAILMENT
1142,CONTRADICTION
1143,NEUTRAL
1144,NEUTRAL
1146,NEUTRAL
1148,ENTAILMENT
1150,ENTAILMENT
1151,CONTRADICTION
1152,ENTAILMENT
1156,ENTAILMENT
1158,NEUTRAL
1159,ENTAILMENT
1160,NEUTRAL
1163,CONTRADICTION
1164,ENTAILMENT
1166,ENTAILMENT
1168,ENTAILMENT
1171,CONTRADICTION
1172,ENTAILMENT
1173,CONTRADICTION
1174,ENTAILMENT
1176,CONTRADICTION
1181,NEUTRAL
1183,NEUTRAL
1185,ENTAILMENT
1186,ENTAILMENT
1187,ENTAILMENT
1189,NEUTRAL
1197,CONTRADICTION
1198,NEUTRAL
1199,NEUTRAL
1201,NEUTRAL
1203,CONTRADICTION
1204,ENTAILMENT
1208,ENTAILMENT
1209,CONTRADICTION
1210,NEUTRAL
1211,NEUTRAL
1216,CONTRADICTION
1217,ENTAILMENT
1218,CONTRADICTION
1220,NEUTRAL
1223,NEUTRAL
1224,ENTAILMENT
1225,CONTRADICTION
1226,ENTAILMENT
1229,CONTRADICTION
1231,CONTRADICTION
1233,NEUTRAL
1234,CONTRADICTION
1235,NEUTRAL
1238,ENTAILMENT
1243,CONTRADICTION
1245,CONTRADICTION
1247,CONTRADICTION
1250,ENTAILMENT
1252,CONTRADICTION
1253,ENTAILMENT
1254,ENTAILMENT
1256,ENTAILMENT
1257,ENTAILMENT
1258,CONTRADICTION
1260,NEUTRAL
1261,CONTRADICTION
1262,ENTAILMENT
1263,CONTRADICTION
1264,NEUTRAL
1265,NEUTRAL
1267,NEUTRAL
1269,NEUTRAL
1272,CONTRADICTION
1277,NEUTRAL
1278,ENTAILMENT
1279,ENTAILMENT
1281,CONTRADICTION
1285,ENTAILMENT
1286,ENTAILMENT
1288,CONTRADICTION
1289,NEUTRAL
1290,NEUTRAL
1295,ENTAILMENT
1296,NEUTRAL
1298,NEUTRAL
1299,ENTAILMENT
1300,CONTRADICTION
1301,ENTAILMENT
1304,ENTAILMENT
1306,CONTRADICTION
1307,NEUTRAL
1309,NEUTRAL
1310,CONTRADICTION
1312,CONTRADICTION
1313,NEUTRAL
1314,NEUTRAL
1315,NEUTRAL
1316,NEUTRAL
1320,NEUTRAL
1322,NEUTRAL
1323,NEUTRAL
1324,NEUTRAL
1325,NEUTRAL
1327,NEUTRAL
1330,NEUTRAL
1331,ENTAILMENT
1332,CONTRADICTION
1334,NEUTRAL
1337,ENTAILMENT
1338,CONTRADICTION
1339,ENTAILMENT
1340,NEUTRAL
1343,NEUTRAL
1347,NEUTRAL
1348,NEUTRAL
1349,ENTAILMENT
1351,ENTAILMENT
1353,ENTAILMENT
1356,CONTRADICTION
1357,ENTAILMENT
1360,NEUTRAL
1362,ENTAILMENT
1363,CONTRADICTION
1364,NEUTRAL
1366,NEUTRAL
1367,ENTAILMENT
1369,ENTAILMENT
1370,CONTRADICTION
1374,CONTRADICTION
1375,NEUTRAL
1377,CONTRADICTION
1382,NEUTRAL
1383,CONTRADICTION
1391,NEUTRAL
1392,CONTRADICTION
1393,NEUTRAL
1394,ENTAILMENT
1395,ENTAILMENT
1397,CONTRADICTION
1398,ENTAILMENT
1401,ENTAILMENT
1402,ENTAILMENT
1406,CONTRADICTION
1411,ENTAILMENT
1413,NEUTRAL
1416,ENTAILMENT
1418,NEUTRAL
1420,NEUTRAL
1422,ENTAILMENT
1423,ENTAILMENT
1424,CONTRADICTION
1425,ENTAILMENT
1426,CONTRADICTION
1428,ENTAILMENT
1430,NEUTRAL
1433,CONTRADICTION
1436,NEUTRAL
1437,CONTRADICTION
1439,NEUTRAL
1440,CONTRADICTION
1441,NEUTRAL
1442,ENTAILMENT
1445,NEUTRAL
1447,ENTAILMENT
1449,ENTAILMENT
1450,ENTAILMENT
1451,CONTRADICTION
1452,NEUTRAL
1454,NEUTRAL
1456,NEUTRAL
1457,NEUTRAL
1459,ENTAILMENT
1460,ENTAILMENT
1462,NEUTRAL
1465,NEUTRAL
1468,NEUTRAL
1471,NEUTRAL
1472,NEUTRAL
1475,ENTAILMENT
1477,NEUTRAL
1478,CONTRADICTION
1485,CONTRADICTION
1490,NEUTRAL
1491,NEUTRAL
1492,NEUTRAL
1496,CONTRADICTION
1497,ENTAILMENT
1500,CONTRADICTION
1502,ENTAILMENT
1507,NEUTRAL
1508,NEUTRAL
1510,NEUTRAL
1512,ENTAILMENT
1515,NEUTRAL
1516,NEUTRAL
1518,NEUTRAL
1520,ENTAILMENT
1522,ENTAILMENT
1526,NEUTRAL
1528,NEUTRAL
1529,NEUTRAL
1530,ENTAILMENT
1533,NEUTRAL
1537,NEUTRAL
1539,CONTRADICTION
1540,NEUTRAL
1542,ENTAILMENT
1543,CONTRADICTION
1544,NEUTRAL
1546,NEUTRAL
1548,NEUTRAL
1554,CONTRADICTION
1555,NEUTRAL
1556,ENTAILMENT
1560,ENTAILMENT
1561,NEUTRAL
1562,NEUTRAL
1564,NEUTRAL
1567,ENTAILMENT
1568,ENTAILMENT
1569,ENTAILMENT
1571,ENTAILMENT
1572,NEUTRAL
1577,NEUTRAL
1578,ENTAILMENT
1579,CONTRADICTION
1581,CONTRADICTION
1583,CONTRADICTION
1589,NEUTRAL
1590,NEUTRAL
1593,ENTAILMENT
1594,CONTRADICTION
1596,ENTAILMENT
1597,NEUTRAL
1598,NEUTRAL
1600,NEUTRAL
1602,CONTRADICTION
1603,ENTAILMENT
1605,NEUTRAL
1611,CONTRADICTION
1613,CONTRADICTION
1616,NEUTRAL
1617,ENTAILMENT
1619,ENTAILMENT
1620,ENTAILMENT
1622,NEUTRAL
1623,NEUTRAL
1624,NEUTRAL
1630,ENTAILMENT
1633,NEUTRAL
1634,NEUTRAL
1636,NEUTRAL
1637,NEUTRAL
1638,NEUTRAL
1642,NEUTRAL
1644,CONTRADICTION
1645,NEUTRAL
1654,CONTRADICTION
1656,ENTAILMENT
1658,ENTAILMENT
1662,ENTAILMENT
1664,NEUTRAL
1665,NEUTRAL
1666,NEUTRAL
1667,ENTAILMENT
1672,NEUTRAL
1674,ENTAILMENT
1678,CONTRADICTION
1679,NEUTRAL
1681,CONTRADICTION
1683,ENTAILMENT
1684,CONTRADICTION
1685,NEUTRAL
1686,ENTAILMENT
1688,NEUTRAL
1689,NEUTRAL
1692,ENTAILMENT
1693,NEUTRAL
1695,ENTAILMENT
1696,ENTAILMENT
1698,ENTAILMENT
1699,ENTAILMENT
1701,NEUTRAL
1704,NEUTRAL
1709,NEUTRAL
1710,NEUTRAL
1713,CONTRADICTION
1717,ENTAILMENT
1718,CONTRADICTION
1720,CONTRADICTION
1722,ENTAILMENT
1725,ENTAILMENT
1726,CONTRADICTION
1727,NEUTRAL
1728,NEUTRAL
1730,ENTAILMENT
1731,NEUTRAL
1732,NEUTRAL
1734,NEUTRAL
1735,NEUTRAL
1737,CONTRADICTION
1738,CONTRADICTION
1739,NEUTRAL
1740,NEUTRAL
1742,NEUTRAL
1743,ENTAILMENT
1744,CONTRADICTION
1745,ENTAILMENT
1746,ENTAILMENT
1748,ENTAILMENT
1749,ENTAILMENT
1750,ENTAILMENT
1752,ENTAILMENT
1758,CONTRADICTION
1760,NEUTRAL
1761,ENTAILMENT
1762,NEUTRAL
1763,NEUTRAL
1764,NEUTRAL
1767,NEUTRAL
1768,ENTAILMENT
1769,CONTRADICTION
1770,NEUTRAL
1774,ENTAILMENT
1775,CONTRADICTION
1778,ENTAILMENT
1779,NEUTRAL
1785,NEUTRAL
1786,NEUTRAL
1788,NEUTRAL
1790,CONTRADICTION
1793,CONTRADICTION
1794,NEUTRAL
1795,ENTAILMENT
1796,CONTRADICTION
1797,NEUTRAL
1799,CONTRADICTION
1800,NEUTRAL
1801,ENTAILMENT
1802,ENTAILMENT
1803,CONTRADICTION
1804,NEUTRAL
1805,CONTRADICTION
1806,NEUTRAL
1810,ENTAILMENT
1813,ENTAILMENT
1816,ENTAILMENT
1817,CONTRADICTION
1819,NEUTRAL
1821,ENTAILMENT
1824,NEUTRAL
1826,NEUTRAL
1827,NEUTRAL
1828,NEUTRAL
1831,ENTAILMENT
1833,CONTRADICTION
1834,NEUTRAL
1835,NEUTRAL
1836,NEUTRAL
1837,NEUTRAL
1838,NEUTRAL
1843,CONTRADICTION
1845,NEUTRAL
1848,ENTAILMENT
1850,NEUTRAL
1855,NEUTRAL
1856,NEUTRAL
1857,CONTRADICTION
1858,NEUTRAL
1859,NEUTRAL
1860,CONTRADICTION
1862,ENTAILMENT
1863,CONTRADICTION
1864,ENTAILMENT
1865,ENTAILMENT
1867,CONTRADICTION
1868,NEUTRAL
1870,NEUTRAL
1871,ENTAILMENT
1872,NEUTRAL
1875,ENTAILMENT
1880,ENTAILMENT
1883,NEUTRAL
1885,ENTAILMENT
1889,NEUTRAL
1890,NEUTRAL
1891,NEUTRAL
1893,NEUTRAL
1895,NEUTRAL
1896,NEUTRAL
1899,ENTAILMENT
1901,CONTRADICTION
1902,NEUTRAL
1903,NEUTRAL
1905,ENTAILMENT
1906,ENTAILMENT
1911,ENTAILMENT
1913,CONTRADICTION
1914,NEUTRAL
1915,NEUTRAL
1916,CONTRADICTION
1917,NEUTRAL
1920,NEUTRAL
1922,ENTAILMENT
1923,NEUTRAL
1924,ENTAILMENT
1925,ENTAILMENT
1926,CONTRADICTION
1928,NEUTRAL
1929,NEUTRAL
1930,NEUTRAL
1931,NEUTRAL
1932,NEUTRAL
1933,NEUTRAL
1937,ENTAILMENT
1938,NEUTRAL
1941,NEUTRAL
1945,CONTRADICTION
1947,NEUTRAL
1950,NEUTRAL
1951,CONTRADICTION
1953,ENTAILMENT
1956,NEUTRAL
1957,NEUTRAL
1958,NEUTRAL
1959,NEUTRAL
1960,NEUTRAL
1962,NEUTRAL
1965,CONTRADICTION
1966,NEUTRAL
1968,CONTRADICTION
1971,CONTRADICTION
1973,ENTAILMENT
1976,ENTAILMENT
1977,NEUTRAL
1979,ENTAILMENT
1980,ENTAILMENT
1982,NEUTRAL
1983,NEUTRAL
1985,CONTRADICTION
1986,NEUTRAL
1990,ENTAILMENT
1995,NEUTRAL
1997,NEUTRAL
1998,CONTRADICTION
2002,ENTAILMENT
2003,NEUTRAL
2010,ENTAILMENT
2013,ENTAILMENT
2017,ENTAILMENT
2021,ENTAILMENT
2022,NEUTRAL
2026,NEUTRAL
2028,ENTAILMENT
2031,CONTRADICTION
2032,CONTRADICTION
2033,ENTAILMENT
2034,CONTRADICTION
2036,NEUTRAL
2039,NEUTRAL
2042,NEUTRAL
2043,ENTAILMENT
2044,CONTRADICTION
2046,NEUTRAL
2048,ENTAILMENT
2050,NEUTRAL
2053,NEUTRAL
2054,NEUTRAL
2057,CONTRADICTION
2060,ENTAILMENT
2062,ENTAILMENT
2063,NEUTRAL
2065,CONTRADICTION
2069,NEUTRAL
2071,NEUTRAL
2074,NEUTRAL
2077,ENTAILMENT
2083,NEUTRAL
2085,ENTAILMENT
2093,ENTAILMENT
2095,NEUTRAL
2099,ENTAILMENT
2101,ENTAILMENT
2106,ENTAILMENT
2108,NEUTRAL
2110,NEUTRAL
2111,NEUTRAL
2114,NEUTRAL
2116,NEUTRAL
2120,ENTAILMENT
2126,NEUTRAL
2127,ENTAILMENT
2128,CONTRADICTION
2129,ENTAILMENT
2131,ENTAILMENT
2133,NEUTRAL
2134,CONTRADICTION
2135,ENTAILMENT
2137,CONTRADICTION
2138,ENTAILMENT
2140,CONTRADICTION
2142,NEUTRAL
2143,NEUTRAL
2147,NEUTRAL
2149,NEUTRAL
2151,ENTAILMENT
2152,NEUTRAL
2154,ENTAILMENT
2155,NEUTRAL
2156,ENTAILMENT
2158,NEUTRAL
2159,NEUTRAL
2160,NEUTRAL
2161,NEUTRAL
2168,NEUTRAL
2169,ENTAILMENT
2173,NEUTRAL
2174,ENTAILMENT
2177,CONTRADICTION
2178,ENTAILMENT
2182,ENTAILMENT
2185,CONTRADICTION
2186,NEUTRAL
2187,NEUTRAL
2189,NEUTRAL
2190,NEUTRAL
2191,ENTAILMENT
2193,NEUTRAL
2194,NEUTRAL
2197,NEUTRAL
2200,NEUTRAL
2201,ENTAILMENT
2204,NEUTRAL
2206,NEUTRAL
2209,NEUTRAL
2211,NEUTRAL
2214,NEUTRAL
2216,NEUTRAL
2219,CONTRADICTION
2220,NEUTRAL
2223,ENTAILMENT
2224,ENTAILMENT
2225,ENTAILMENT
2227,CONTRADICTION
2230,ENTAILMENT
2237,NEUTRAL
2241,CONTRADICTION
2244,NEUTRAL
2245,ENTAILMENT
2246,ENTAILMENT
2248,ENTAILMENT
2249,CONTRADICTION
2254,ENTAILMENT
2255,ENTAILMENT
2256,NEUTRAL
2257,NEUTRAL
2258,CONTRADICTION
2262,NEUTRAL
2265,CONTRADICTION
2267,CONTRADICTION
2268,ENTAILMENT
2269,CONTRADICTION
2270,ENTAILMENT
2271,CONTRADICTION
2273,ENTAILMENT
2276,NEUTRAL
2278,NEUTRAL
2279,NEUTRAL
2280,ENTAILMENT
2283,CONTRADICTION
2285,CONTRADICTION
2290,ENTAILMENT
2292,CONTRADICTION
2293,NEUTRAL
2294,NEUTRAL
2295,NEUTRAL
2296,NEUTRAL
2298,CONTRADICTION
2300,ENTAILMENT
2301,NEUTRAL
2306,NEUTRAL
2312,NEUTRAL
2313,CONTRADICTION
2320,NEUTRAL
2321,NEUTRAL
2323,NEUTRAL
2324,ENTAILMENT
2325,ENTAILMENT
2326,CONTRADICTION
2328,ENTAILMENT
2331,NEUTRAL
2335,ENTAILMENT
2336,CONTRADICTION
2337,NEUTRAL
2342,ENTAILMENT
2343,NEUTRAL
2345,ENTAILMENT
2346,NEUTRAL
2347,NEUTRAL
2349,ENTAILMENT
2353,ENTAILMENT
2354,NEUTRAL
2355,ENTAILMENT
2356,NEUTRAL
2357,ENTAILMENT
2361,CONTRADICTION
2367,NEUTRAL
2370,ENTAILMENT
2371,CONTRADICTION
2372,ENTAILMENT
2373,CONTRADICTION
2376,NEUTRAL
2378,NEUTRAL
2379,NEUTRAL
2380,CONTRADICTION
2382,CONTRADICTION
2384,NEUTRAL
2387,NEUTRAL
2389,NEUTRAL
2390,CONTRADICTION
2393,NEUTRAL
2394,NEUTRAL
2395,NEUTRAL
2396,ENTAILMENT
2398,CONTRADICTION
2399,ENTAILMENT
2403,ENTAILMENT
2406,ENTAILMENT
2408,ENTAILMENT
2411,NEUTRAL
2412,NEUTRAL
2416,CONTRADICTION
2417,ENTAILMENT
2418,ENTAILMENT
2419,CONTRADICTION
2420,ENTAILMENT
2421,CONTRADICTION
2424,NEUTRAL
2425,NEUTRAL
2427,ENTAILMENT
2428,ENTAILMENT
2432,NEUTRAL
2433,NEUTRAL
2434,NEUTRAL
2435,NEUTRAL
2437,ENTAILMENT
2439,CONTRADICTION
2442,NEUTRAL
2443,ENTAILMENT
2444,ENTAILMENT
2446,ENTAILMENT
2448,NEUTRAL
2449,ENTAILMENT
2451,NEUTRAL
2452,ENTAILMENT
2453,ENTAILMENT
2454,ENTAILMENT
2460,NEUTRAL
2461,NEUTRAL
2462,CONTRADICTION
2463,NEUTRAL
2464,CONTRADICTION
2468,ENTAILMENT
2469,ENTAILMENT
2470,ENTAILMENT
2471,ENTAILMENT
2473,ENTAILMENT
2475,ENTAILMENT
2477,ENTAILMENT
2478,NEUTRAL
2479,ENTAILMENT
2480,CONTRADICTION
2481,ENTAILMENT
2482,CONTRADICTION
2483,ENTAILMENT
2484,NEUTRAL
2487,ENTAILMENT
2489,ENTAILMENT
2490,ENTAILMENT
2492,ENTAILMENT
2493,ENTAILMENT
2498,ENTAILMENT
2501,CONTRADICTION
2502,ENTAILMENT
2503,NEUTRAL
2504,ENTAILMENT
2507,CONTRADICTION
2511,NEUTRAL
2512,NEUTRAL
